rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad
3096,jõekääru pargi multifunktsionaalne spordiväljak,jõekääru park,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,saue vallavalitsus,77000430,mittetulundusühing,rahvaspordiklubi kuuse,80036532,59.353433,24.6068,harjumaa,37,saue,laagri alevik,4014,0,6555,jõekääru pargi multifunktsionaalne spordiväljak,rahuldav,"korvpall, jalgpall",0.0,2013.0,20.0
3426,jõelähtme rahvamaja rannavolle- ja jalgpalliväljak,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,jõelähtme vallavalitsus,75025973,mittetulundusühing,jõelähtme külaselts,80327732,59.441784,25.137786,harjumaa,37,jõelähtme,jõelähtme küla,2234,10,7500,jalgpalliväljak,rahuldav,jalgpall,0.0,2001.0,15.0
1309,jõgeva aleviku jalgpallistaadion,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,jõgeva vallavalitsus,77000401,mittetulundusühing,mittetulundusühing jõgeva spordiklubi noorus-96,80051164,58.767646,26.393795,jõgevamaa,50,jõgeva,jõgeva alevik,2261,20,3032,jalgpalliväljak,rahuldav,jalgpall,2015.0,1960.0,10.0
1003,jõgeva spordimaja virtus,jõgeva spordikeskus,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,jõgeva vallavalitsus,77000401,kohaliku omavalitsuse üksus,jõgeva spordikeskus,75038902,58.74527368,26.37906559,jõgevamaa,50,jõgeva,jõgeva linn,2262,80,4231,suur saal,rahuldav,"tennis, saalijalgpall, võrkpall, korvpall, saalihoki",2008.0,1989.0,40.0
2771,jõgeva staadion,jõgeva spordikeskus,staadion,kinnisasi,kohaliku omavalitsuse üksus,jõgeva vallavalitsus,77000401,kohaliku omavalitsuse üksus,jõgeva spordikeskus,75038902,58.74718996,26.38669784,jõgevamaa,50,jõgeva,jõgeva linn,2262,0,5672,jõgeva linna staadion,hea,"jalgpall, kergejõustik",2017.0,2006.0,40.0
2779,jõgeva treeningstaadion,jõgeva spordikeskus,staadion,kinnisasi,kohaliku omavalitsuse üksus,jõgeva vallavalitsus,77000401,kohaliku omavalitsuse üksus,jõgeva spordikeskus,75038902,58.74883122,26.38636083,jõgevamaa,50,jõgeva,jõgeva linn,2262,0,5671,jõgeva linna abistaadion,rahuldav,"jalgpall, kergejõustik",2006.0,1972.0,20.0
5979,jõhvi jaama tn jalgpallisaalid,0,"võimla, spordihall, spordisaal",kinnisasi,osaühing,p.a.g.m. oü,14118171,mittetulundusühing,mittetulundusühing jõhvi jalgpalliklubi fc phoenix,80315723,59.35759356,27.40459124,ida-virumaa,45,jõhvi,jõhvi linn,2270,30,12123,saal - 1,väga hea,"saalijalgpall, aeroobika ja rühmatreeningud",0.0,2024.0,30.0
4461,jõhvi kesklinna kooli jalgpalliväljak,jõhvi kesklinna kool,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,jõhvi vallavalitsus,75033483,kohaliku omavalitsuse üksus,jõhvi sport,77001748,59.357697,27.42221,ida-virumaa,45,jõhvi,jõhvi linn,2270,0,10710,jalgpalliväljak,väga hea,jalgpall,2020.0,2008.0,0.0
341,jõhvi linna jalgpallikeskus,jõhvi linnastaadion,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,jõhvi vallavalitsus,75033483,kohaliku omavalitsuse üksus,jõhvi vallavalitsus,75033483,59.355872,27.419,ida-virumaa,45,jõhvi,jõhvi linn,2270,30,3542,jalgpalliväljak,väga hea,jalgpall,2016.0,1970.0,50.0
5991,jõulumäe tervisespordikeskuse liivahall,sa jõulumäe tervisespordikeskus,"võimla, spordihall, spordisaal",kinnisasi,sihtasutus,sihtasutus jõulumäe tervisespordikeskus,90005113,sihtasutus,sihtasutus jõulumäe tervisespordikeskus,90005113,58.22227471,24.51598399,pärnumaa,68,häädemeeste,leina küla,4232,60,12214,jõulumäe tervisespordikeskuse liivahall,väga hea,"rannajalgpall, rannavõrkpall",0.0,2023.0,100.0
