rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad,normalized_lockers,normalized_parking,normalized_renovation,normalized_start,normalized_condition,facilities_scores
516,tallinna laagna lasteaed-põhikooli võimlemissaal,tallinna laagna lasteaed-põhikool,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna laagna lasteaed-põhikool,75016875,59.43770773,24.83385021,harjumaa,37,tallinn,lasnamäe linnaosa,387,36,6951,aeroobikasaal,rahuldav,harrastusvõimlemine,1981.0,1981.0,11.0,0.024,0.006387921022067364,0.5784313725490197,0.6416666666666667,0.6,0.3374458666393387
1524,tallinna lasnamäe mehaanikakooli võimla,0,"võimla, spordihall, spordisaal",kinnisasi,-,haridus- ja teadusministeerium,70000740,-,tallinna lasnamäe mehaanikakool,70003767,59.43709,24.80612,harjumaa,37,tallinn,lasnamäe linnaosa,387,62,4787,spordisaal,väga hea,"võrkpall, korvpall",2014.0,1984.0,20.0,0.04133333333333333,0.011614401858304297,0.9019607843137255,0.6666666666666666,1.0,0.5365101318576211
5441,tallinna lastekodu tn 32 jõulinnak,0,muu vabas õhus asuv spordiobjekt,kinnisasi,kohaliku omavalitsuse üksus,tallinna kesklinna valitsus,75014221,kohaliku omavalitsuse üksus,tallinna kesklinna valitsus,75014221,59.42824806,24.77168883,harjumaa,37,tallinn,kesklinna linnaosa,298,0,11223,tallinna lastekodu tn 32 jõulinnak,väga hea,"harrastusvõimlemine, kulturism ja fitness",2022.0,2022.0,0.0,0.0,0.0,0.9803921568627451,0.9833333333333333,1.0,0.5472058823529412
4870,tallinna lepistiku pargi jõulinnak,0,muu vabas õhus asuv spordiobjekt,kinnisasi,kohaliku omavalitsuse üksus,mustamäe linnaosa valitsus,75014267,kohaliku omavalitsuse üksus,mustamäe linnaosa valitsus,75014267,59.400863,24.701341,harjumaa,37,tallinn,mustamäe linnaosa,482,0,10256,tallinna lepistiku pargi jõulinnak,hea,"harrastusvõimlemine, kulturism ja fitness",2006.0,2006.0,0.0,0.0,0.0,0.8235294117647058,0.85,0.8,0.4448529411764707
517,tallinna lilleküla gümnaasiumi spordisaal,tallinna lilleküla gümnaasium,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna lilleküla gümnaasium,75016510,59.419181,24.702491,harjumaa,37,tallinn,kristiine linnaosa,339,320,5738,võimla,väga hea,"korvpall, võrkpall, ilu- ja rühmvõimlemine",2010.0,1975.0,100.0,0.21333333333333335,0.05807200929152149,0.8627450980392157,0.5916666666666667,1.0,0.582761443601831
519,tallinna lilleküla gümnaasiumi spordiväljakud,tallinna lilleküla gümnaasium,"staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna lilleküla gümnaasium,75016510,59.419077,24.704046,harjumaa,37,tallinn,kristiine linnaosa,339,0,7006,staadion,rahuldav,"kergejõustik, jalgpall",2014.0,1975.0,0.0,0.0,0.0,0.9019607843137255,0.5916666666666667,0.6,0.3597794117647059
444,tallinna linnamäe vene lütseumi läänemere tee spordisaalid,tallinna linnamäe vene lütseum,"muu hoones asuv spordiobjekt, võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna linnamäe vene lütseum,75016898,59.454205,24.881544,harjumaa,37,tallinn,lasnamäe linnaosa,387,20,1298,pallimängude saal,väga hea,"võrkpall, korvpall, saalijalgpall, saalihoki",2017.0,1987.0,40.0,0.013333333333333334,0.023228803716608595,0.9313725490196079,0.6916666666666667,1.0,0.5328820284211245
446,tallinna linnamäe vene lütseumi läänemere tee staadion ja spordiväljakud,tallinna linnamäe vene lütseum,"muu vabas õhus asuv spordiobjekt, staadion, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna linnamäe vene lütseum,75016898,59.454315,24.882939,harjumaa,37,tallinn,lasnamäe linnaosa,387,15,1262,staadion,väga hea,"jalgpall, kergejõustik",2017.0,1987.0,5.0,0.01,0.0029036004645760743,0.9313725490196079,0.6916666666666667,1.0,0.5308657682585229
522,tallinna linnamäe vene lütseumi spordisaalid,tallinna linnamäe vene lütseum,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna linnamäe vene lütseum,75016898,59.44943,24.874227,harjumaa,37,tallinn,lasnamäe linnaosa,387,210,1546,spordisaal - 1,hea,"korvpall, võrkpall, käsipall, saalijalgpall",2006.0,1988.0,50.0,0.14,0.029036004645760744,0.8235294117647058,0.7,0.8,0.48080474140875873
520,tallinna linnamäe vene lütseumi staadion,tallinna linnamäe vene lütseum,"muu vabas õhus asuv spordiobjekt, staadion",kinnisasi,kohaliku omavalitsuse üksus,tallinna haridusamet,75014289,kohaliku omavalitsuse üksus,tallinna linnamäe vene lütseum,75016898,59.448441,24.873894,harjumaa,37,tallinn,lasnamäe linnaosa,387,140,1554,staadion,rahuldav,"kergejõustik, jalgpall",2006.0,1989.0,50.0,0.09333333333333334,0.029036004645760744,0.8235294117647058,0.7083333333333334,0.6,0.38722140807542527
