rajatisid,rajatisnimi,kompleks,liik,omandiliik,ehstaatus,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad
1617,Kalevi Tenniseklubi tenniseväljakud,,Tenniseplats,Hoonestusõigus,Spordialases kasutuses,Mittetulundusühing,Pärnu Kalevi Tenniseklubi,80034792,Mittetulundusühing,Pärnu Kalevi Tenniseklubi,80034792,58.37640733,24.50631284,Pärnumaa,68,Pärnu,Pärnu linn,6619,20,4565,2 saviliiva väljakut (2. plats),Väga hea,Tennis
936,KalevSpa Veekeskuse spordisaalid,KalevSpa ujula-veekeskus,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Osaühing,OÜ Kalevi Veekeskus,11053554,Osaühing,OÜ Kalevi Veekeskus,11053554,59.43971283,24.751274,Harjumaa,37,Tallinn,Kesklinna linnaosa,298,0,1248,Aeroobikasaal Stuudio 1,Väga hea,"Aeroobika, Ilu- ja rühmvõimlemine"
937,KalevSpa Veekeskuse ujula,KalevSpa ujula-veekeskus,Siseujula,Kinnisasi,Spordialases kasutuses,Osaühing,OÜ Kalevi Veekeskus,11053554,Osaühing,OÜ Kalevi Veekeskus,11053554,59.43971283,24.751274,Harjumaa,37,Tallinn,Kesklinna linnaosa,298,686,1228,Siseujumisbassein,Väga hea,"Allveeorienteerumine, Vettehüpped, Vesiaeroobika, Veepall, Ujumine, Lestaujumine"
3440,Kallaste jalgpallistaadion,,Välispalliväljak,Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Peipsiääre Vallavalitsus,77000192,Kohaliku omavalitsuse üksus,Peipsiääre Vallavalitsus,77000192,58.66409143,27.15817963,Tartumaa,79,Peipsiääre,Kallaste linn,2596,0,7553,Kallaste jalgpallistaadion,Hea,jalgpall
3442,Kallaste korvpalli- ja uisuplats,,"Muu spordiplats, Välispalliväljak",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Peipsiääre Vallavalitsus,77000192,Kohaliku omavalitsuse üksus,Peipsiääre Vallavalitsus,77000192,58.66471,27.16007,Tartumaa,79,Peipsiääre,Kallaste linn,2596,0,12016,Uisuplats,Hea,"iluuisutamine, Jäähoki"
3443,Kallaste spordimängude saal,,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Peipsiääre Vallavalitsus,77000192,Kohaliku omavalitsuse üksus,Peipsiääre Vallavalitsus,77000192,58.66345363,27.16255552,Tartumaa,79,Peipsiääre,Kallaste linn,2596,2,7557,Kallaste spordimängude saal,Rahuldav,"Korvpall, võrkpall"
5426,Kallaste talu ELAMUSTALU discgolfi park,,Muu vabas õhus asuv spordiobjekt,Muu,Spordialases kasutuses,Füüsiline isik,Ülle Kuningas,46406290274,Osaühing,OÜ Elamustalu,14723662,59.21774183,24.1505808,Harjumaa,37,Lääne-Harju,Kasepere küla,2797,10,11197,Discgolfi park,Hea,discgolf
3878,Kallavere - Maardu tee - Muuga tee kergliiklustee,,Muu sportimiseks kasutatav objekt,Muu,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Maardu Linnavalitsus,75011470,Kohaliku omavalitsuse üksus,Maardu Linnavalitsus,75011470,59.48203185,25.01688234,Harjumaa,37,Maardu,,,0,8463,Kallavere - Muuga tee kergliiklustee,Hea,"Tervisejooks ja -kõnd, Kepikõnd"
1368,Kallavere Keskkooli spordisaal,Kallavere Keskkool,"Võimla, spordihall, spordisaal",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Maardu Linnavalitsus,75011470,Kohaliku omavalitsuse üksus,Kallavere Keskkool,75011913,59.47892205,25.01888255,Harjumaa,37,Maardu,,,20,1081,Spordisaal,Hea,"Korvpall, võrkpall"
1367,Kallavere Keskkooli spordiväljakud,Kallavere Keskkool,"Muu spordiplats, Tenniseplats, Välispalliväljak",Kinnisasi,Spordialases kasutuses,Kohaliku omavalitsuse üksus,Maardu Linnavalitsus,75011470,Kohaliku omavalitsuse üksus,Kallavere Keskkool,75011913,59.479402,25.018596,Harjumaa,37,Maardu,,,15,3284,Tenniseväljak,Rahuldav,Tennis
