rajatisid,rajatisnimi,kompleks,liik,omandiliik,om_oigvorm_id,omaniknimi,omanikregkood,va_oigvorm_id,valdajanimi,valdajaregkood,kaart_laius,kaart_pikkus,maakond,maakond_kood,kov,asustusyksus,asustusyksus_kood,riietusruumidemahutavus,objektid,objektnimi,tehnseisukord,spordialad,renoveerimisaasta,algusaasta,parkimiskohad,normalized_lockers,normalized_parking,normalized_renovation,normalized_start,normalized_condition,facilities_scores
713,vastseliina suusabaas,vastseliina spordikeskus,"spordi abihoone, võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,mittetulundusühing,vastseliina spordiklubi,80093412,57.72948344,27.27268662,võrumaa,87,võru vald,vastseliina alevik,9133,30,4435,vastseliina suusabaas,hea,0,2005.0,2005.0,8.0,0.02,0.004645760743321719,0.8137254901960784,0.8416666666666667,0.7500000000000001,0.5124577782332446
714,vastseliina suusabaasi spordiväljak ja suusarajad,vastseliina spordikeskus,"muu spordiplats, sportliku liikumise püsirada, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,võru vallavalitsus,77000393,mittetulundusühing,vastseliina spordiklubi,80093412,57.72948344,27.27268662,võrumaa,87,võru vald,vastseliina alevik,9133,0,5209,spordiväljak,hea,"võrkpall, korvpall",2006.0,2006.0,6.0,0.0,0.003484320557491289,0.8235294117647058,0.85,0.7500000000000001,0.5087036277925805
805,vatla jalgpalliväljak,vatla mõis,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,lääneranna vallavalitsus,77000298,mittetulundusühing,vatla külaselts,80227574,58.560481,23.723034,pärnumaa,68,lääneranna,vatla küla,9141,0,460,vatla jalgpalliväljak,mitterahuldav,jalgpall,2014.0,1986.0,0.0,0.0,0.0,0.9019607843137255,0.6833333333333333,0.25,0.3036274509803921
806,vatla korvpalliväljak,vatla mõis,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,lääneranna vallavalitsus,77000298,mittetulundusühing,vatla külaselts,80227574,58.560979,23.721038,pärnumaa,68,lääneranna,vatla küla,9141,0,461,vatla korvpalliväljak,rahuldav,korvpall,1988.0,1972.0,0.0,0.0,0.0,0.6470588235294118,0.5666666666666667,0.49999999999999994,0.35372549019607846
3056,vatla rannavõrkpalliväljak,vatla mõis,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,lääneranna vallavalitsus,77000298,mittetulundusühing,vatla spordiselts,80347166,58.56187772,23.72291904,pärnumaa,68,lääneranna,vatla küla,9141,0,6394,vatla rannavõrkpalliväljak,rahuldav,rannavõrkpall,2014.0,2002.0,0.0,0.0,0.0,0.9019607843137255,0.8166666666666667,0.49999999999999994,0.41696078431372546
807,vatla spordisaal,vatla mõis,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,lääneranna vallavalitsus,77000298,mittetulundusühing,vatla külaselts,80227574,58.56077193,23.72236142,pärnumaa,68,lääneranna,vatla küla,9141,30,451,vatla spordisaal,rahuldav,"võrkpall, lauatennis, korvpall",1997.0,1997.0,20.0,0.02,0.011614401858304297,0.7352941176470589,0.775,0.49999999999999994,0.39437483773997406
3647,veeremängudesaal bombey bowling,0,muu hoones asuv spordiobjekt,kinnisasi,aktsiaselts,aktsiaselts astri-narva,10227532,osaühing,ns invest oü,12570903,59.380657,28.176477,ida-virumaa,45,narva,0,0,10,8067,veeremängusaal,väga hea,bowling,2015.0,2006.0,50.0,0.006666666666666667,0.029036004645760744,0.9117647058823529,0.85,1.0,0.625216506114641
4556,veeriku spordikeskuse tantsusaal,veeriku spordikeskus,"võimla, spordihall, spordisaal",kinnisasi,osaühing,tarena oü,12302090,osaühing,tants oü,12153565,58.37711496,26.69878651,tartumaa,79,tartu linn,tartu linn,8151,400,12282,"aeroobika-, võimlemis- või liikumissaal - 1",väga hea,"aeroobika ja rühmatreeningud, võistlustants",2019.0,2018.0,50.0,0.26666666666666666,0.029036004645760744,0.9509803921568627,0.95,1.0,0.7190988590558175
4164,veeriku tennise- ja sulgpallikeskus,veeriku spordikeskus,"võimla, spordihall, spordisaal",kinnisasi,osaühing,tarena oü,12302090,mittetulundusühing,mk tenniseklubi,80331774,58.377098,26.698764,tartumaa,79,tartu linn,tartu linn,8151,160,8896,tennisehall,väga hea,tennis,2017.0,2017.0,100.0,0.10666666666666667,0.05807200929152149,0.9313725490196079,0.9416666666666667,1.0,0.668776149484184
4830,veltsi korvpalliväljak,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,rakvere vallavalitsus,77000329,mittetulundusühing,mtü veltsi küla selts,80551837,59.396361,26.274125,lääne-virumaa,60,rakvere vald,veltsi küla,9196,0,10189,veltsi korvpalliväljak,hea,korvpall,2011.0,2011.0,0.0,0.0,0.0,0.8725490196078431,0.8916666666666667,0.7500000000000001,0.5200490196078432
3448,veltsi lasteaed-algkooli spordiväljakud,veltsi lasteaed-algkool,"muu vabas õhus asuv spordiobjekt, välispalliväljak",kinnisasi,kohaliku omavalitsuse üksus,rakvere vallavalitsus,77000329,kohaliku omavalitsuse üksus,veltsi lasteaed-algkool,75012110,59.398608,26.277881,lääne-virumaa,60,rakvere vald,veltsi küla,9196,18,7758,"muruväljak, kaugushüppekast",hea,kergejõustik,1992.0,1992.0,0.0,0.012,0.0,0.6862745098039216,0.7333333333333333,0.7500000000000001,0.4798745098039216
3449,veltsi lasteaed-algkooli võimla,veltsi lasteaed-algkool,"võimla, spordihall, spordisaal",kinnisasi,kohaliku omavalitsuse üksus,rakvere vallavalitsus,77000329,kohaliku omavalitsuse üksus,veltsi lasteaed-algkool,75012110,59.39898088,26.27705217,lääne-virumaa,60,rakvere vald,veltsi küla,9196,20,7580,veltsi lasteaed-algkooli võimla,rahuldav,"harrastusvõimlemine, saalijalgpall",1992.0,1992.0,0.0,0.013333333333333334,0.0,0.6862745098039216,0.7333333333333333,0.49999999999999994,0.3802745098039215
5566,veltsi talli ratsaspordiväljak,0,ratsaspordi rajatis,kinnisasi,füüsiline isik,diana talu,46907075217,mittetulundusühing,mtü veltsi tall,80583458,59.39951054,26.26424016,lääne-virumaa,60,haljala,lihulõpe küla,4331,0,11503,veltsi talli ratsaspordiväljak,hea,"koolisõit, takistussõit, kestvusratsutamine",2020.0,2020.0,5.0,0.0,0.0029036004645760743,0.9607843137254902,0.9666666666666667,0.7500000000000001,0.540929493748719
3163,venevere rannavõrkpalliväljak,0,välispalliväljak,kinnisasi,füüsiline isik,piret lehtmets,46911045217,mittetulundusühing,venevere haridus- ja kultuuriselts,80183121,59.017047,26.708847,lääne-virumaa,60,vinni,venevere küla,9204,15,6870,rannavõrkpalliplats,hea,rannavõrkpall,2012.0,2012.0,30.0,0.01,0.017421602787456445,0.8823529411764706,0.9,0.7500000000000001,0.5262240213158434
1381,venevere välivõrkpalliväljak,0,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,vinni vallavalitsus,75008746,mittetulundusühing,venevere haridus- ja kultuuriselts,80183121,59.014456,26.706932,lääne-virumaa,60,vinni,venevere küla,9204,0,334,venevere välivõrkpalliväljak,väga hea,võrkpall,2004.0,2004.0,10.0,0.0,0.005807200929152149,0.803921568627451,0.8333333333333334,1.0,0.6042119286739086
371,verhulitsa liikumis- ja suusarajad,0,sportliku liikumise püsirada,muu,mittetulundusühing,värska orienteerumisklubi peko,80109099,kohaliku omavalitsuse üksus,setomaa vallavalitsus,75025041,57.93329782,27.65756469,võrumaa,87,setomaa,õrsava küla,9708,0,1586,verhulitsa liikumisrajad,hea,"maastikusõit, tervisejooks ja -kõnd, orienteerumine, kepikõnd",2000.0,2000.0,50.0,0.0,0.029036004645760744,0.7647058823529411,0.8,0.7500000000000001,0.49615768258522924
835,verhulitsa suusamaja,0,spordi abihoone,kinnisasi,mittetulundusühing,värska orienteerumisklubi peko,80109099,mittetulundusühing,värska orienteerumisklubi peko,80109099,57.93364321,27.65805656,võrumaa,87,setomaa,õrsava küla,9708,15,1110,"suusamaja, orienteerumispolügon",rahuldav,0,2000.0,2000.0,10.0,0.01,0.005807200929152149,0.7647058823529411,0.8,0.49999999999999994,0.3979962423993988
5103,veriora - pahtpää kergliiklustee,0,muu sportimiseks kasutatav objekt,muu,kohaliku omavalitsuse üksus,räpina vallavalitsus,75025503,kohaliku omavalitsuse üksus,räpina vallavalitsus,75025503,58.01036067,27.35359149,põlvamaa,64,räpina,veriora alevik,9223,0,10608,veriora - pahtpää kergliiklustee,väga hea,tervisejooks ja -kõnd,2020.0,2020.0,0.0,0.0,0.0,0.9607843137254902,0.9666666666666667,1.0,0.6407843137254903
1760,veriora - viluste kergliiklustee,0,muu sportimiseks kasutatav objekt,muu,kohaliku omavalitsuse üksus,räpina vallavalitsus,75025503,kohaliku omavalitsuse üksus,räpina vallavalitsus,75025503,58.00801331,27.34994814,põlvamaa,64,räpina,veriora alevik,9223,0,3428,veriora-viluste kergliiklustee,hea,"tervisejooks ja -kõnd, kepikõnd",2010.0,2010.0,0.0,0.0,0.0,0.8627450980392157,0.8833333333333333,0.7500000000000001,0.5177450980392158
5498,veriora ranna jõulinnak,veriora ranna spordiväljakud,muu vabas õhus asuv spordiobjekt,kinnisasi,kohaliku omavalitsuse üksus,räpina vallavalitsus,75025503,kohaliku omavalitsuse üksus,räpina vallavalitsus,75025503,58.00360853,27.3417717,põlvamaa,64,räpina,veriora alevik,9223,0,11298,veriora ranna jõulinnak,väga hea,"harrastusvõimlemine, kulturism ja fitness",2021.0,2021.0,5.0,0.0,0.0029036004645760743,0.9705882352941176,0.975,1.0,0.6432334153173465
5534,veriora ranna korvpalliplats,veriora ranna spordiväljakud,välispalliväljak,kinnisasi,kohaliku omavalitsuse üksus,räpina vallavalitsus,75025503,kohaliku omavalitsuse üksus,räpina vallavalitsus,75025503,58.00347967,27.34162739,põlvamaa,64,räpina,veriora alevik,9223,0,11434,veriora ranna korvpalliplats,rahuldav,korvpall,2014.0,2014.0,5.0,0.0,0.0029036004645760743,0.9019607843137255,0.9166666666666666,0.49999999999999994,0.42710596433695425
